EnrollmentID,StudentID,CourseID,EnrollmentDate
ENR00043,STD1208,CRS0042,2024-06-24
ENR00044,STD1213,CRS0012,2025-01-10
ENR00045,STD1716,CRS0017,2022-06-18
ENR00046,STD1026,CRS0046,2024-11-01
ENR00047,STD1990,CRS0002,2022-07-03
ENR00048,STD1264,CRS0021,2023-10-28
ENR00049,STD1985,CRS0028,2025-02-28
ENR00050,STD1304,CRS0032,2025-02-11
ENR00051,STD1356,CRS0049,2023-10-28
ENR00052,STD1662,CRS0011,2023-04-10
ENR00053,STD1466,CRS0006,2023-02-08
ENR00054,STD1419,CRS0026,2025-04-25
ENR00055,STD1827,CRS0014,2023-09-23
ENR00056,STD1509,CRS0049,2023-08-30
ENR00057,STD1914,CRS0041,2024-12-12
ENR00058,STD1842,CRS0025,2023-03-08
ENR00059,STD1246,CRS0024,2024-10-30
ENR00060,STD1486,CRS0033,2023-02-02
ENR00061,STD1640,CRS0048,2024-02-28
ENR00062,STD1358,CRS0031,2023-10-26
ENR00063,STD1447,CRS0046,2024-04-06
ENR00064,STD1550,CRS0024,2023-09-09
ENR00065,STD1161,CRS0042,2022-10-25
ENR00066,STD1277,CRS0025,2024-09-05
ENR00067,STD1064,CRS0021,2023-09-10
ENR00068,STD1157,CRS0001,2022-07-30
ENR00069,STD1667,CRS0007,2022-07-13
ENR00070,STD1337,CRS0034,2025-02-02
ENR00071,STD1530,CRS0047,2023-05-21
ENR00072,STD1110,CRS0027,2025-06-05
ENR00073,STD1132,CRS0036,2023-08-09
ENR00074,STD1661,CRS0026,2024-03-06
ENR00075,STD1906,CRS0003,2024-02-29
ENR00076,STD1067,CRS0027,2025-05-10
ENR00077,STD1301,CRS0021,2023-10-25
ENR00078,STD1511,CRS0043,2024-03-22
ENR00079,STD1252,CRS0020,2025-05-14
ENR00080,STD1197,CRS0008,2022-08-01
ENR00081,STD1495,CRS0006,2025-04-24
ENR00082,STD1204,CRS0021,2024-05-12
ENR00083,STD1536,CRS0029,2024-03-19
ENR00084,STD1474,CRS0011,2023-11-28
ENR00085,STD1813,CRS0003,2024-11-02
ENR00086,STD1022,CRS0034,2023-11-30
ENR00087,STD1878,CRS0050,2024-10-31
ENR00088,STD1991,CRS0003,2022-08-20
ENR00089,STD1895,CRS0009,2022-09-14
ENR00090,STD1942,CRS0050,2025-02-17
ENR00091,STD1513,CRS0035,2024-02-19
ENR00092,STD1216,CRS0049,2024-03-10
ENR00093,STD1807,CRS0021,2023-09-05
ENR00094,STD1974,CRS0006,2023-06-22
ENR00095,STD1110,CRS0014,2023-08-13
ENR00096,STD1679,CRS0031,2024-08-02
ENR00097,STD1811,CRS0024,2024-02-26
ENR00098,STD1093,CRS0007,2025-05-02
ENR00099,STD1526,CRS0008,2022-08-06
ENR00100,STD1169,CRS0040,2023-05-19
ENR00101,STD1653,CRS0047,2023-08-14
ENR00102,STD1915,CRS0012,2022-07-11
ENR00103,STD1486,CRS0022,2024-02-07
ENR00104,STD1818,CRS0013,2024-10-17
ENR00105,STD1692,CRS0002,2024-11-17
ENR00106,STD1951,CRS0032,2024-03-05
ENR00107,STD1609,CRS0012,2025-03-22
ENR00108,STD1586,CRS0009,2024-05-12
ENR00109,STD1890,CRS0021,2023-04-19
ENR00110,STD1138,CRS0007,2024-08-24
ENR00111,STD1970,CRS0009,2023-09-05
ENR00112,STD1095,CRS0017,2024-02-04
ENR00113,STD1297,CRS0032,2024-02-05
ENR00114,STD1344,CRS0014,2024-05-09
ENR00115,STD1942,CRS0044,2023-09-26
ENR00116,STD1647,CRS0043,2024-01-28
ENR00117,STD1556,CRS0013,2023-08-26
ENR00118,STD1897,CRS0005,2023-03-01
ENR00119,STD1673,CRS0031,2023-10-19
ENR00120,STD1662,CRS0016,2025-01-25
ENR00121,STD1069,CRS0026,2023-07-04
ENR00122,STD1388,CRS0043,2023-06-09
ENR00123,STD1762,CRS0026,2024-06-30
ENR00124,STD1763,CRS0006,2024-08-20
ENR00125,STD1491,CRS0027,2024-11-02
ENR00126,STD1834,CRS0024,2023-08-26
ENR00127,STD1910,CRS0047,2022-07-05
ENR00128,STD1781,CRS0035,2024-03-08
ENR00129,STD1384,CRS0006,2023-09-14
ENR00130,STD1758,CRS0046,2024-06-14
ENR00131,STD1216,CRS0009,2024-12-10
ENR00132,STD1545,CRS0038,2022-12-05
ENR00133,STD1798,CRS0035,2023-11-15
ENR00134,STD1884,CRS0015,2024-12-21
ENR00135,STD1091,CRS0046,2023-10-17
ENR00136,STD1450,CRS0043,2024-04-12
ENR00137,STD1883,CRS0004,2023-12-29
ENR00138,STD1553,CRS0036,2023-01-17
ENR00139,STD1072,CRS0023,2023-11-01
ENR00140,STD1449,CRS0047,2023-04-06
ENR00141,STD1003,CRS0027,2024-04-13
ENR00142,STD1760,CRS0018,2023-06-08
ENR00143,STD1182,CRS0026,2024-07-13
ENR00144,STD1004,CRS0001,2023-12-09
ENR00145,STD1800,CRS0035,2023-09-10
ENR00146,STD1993,CRS0027,2022-07-21
ENR00147,STD1380,CRS0025,2024-12-09
ENR00148,STD1068,CRS0020,2022-09-06
ENR00149,STD1372,CRS0024,2023-07-10
ENR00150,STD1224,CRS0011,2025-01-03
ENR00151,STD1905,CRS0010,2022-08-22
ENR00152,STD1983,CRS0022,2024-04-18
ENR00153,STD1123,CRS0035,2024-01-10
ENR00154,STD1206,CRS0026,2025-04-11
ENR00155,STD1100,CRS0035,2025-02-28
ENR00156,STD1320,CRS0008,2022-08-30
ENR00157,STD1148,CRS0046,2023-03-29
ENR00158,STD1706,CRS0023,2025-02-05
ENR00159,STD1140,CRS0024,2025-04-10
ENR00160,STD1629,CRS0026,2023-09-29
ENR00161,STD1589,CRS0050,2023-09-12
ENR00162,STD1731,CRS0047,2024-10-07
ENR00163,STD1207,CRS0011,2023-01-18
ENR00164,STD1246,CRS0048,2023-09-03
ENR00165,STD1141,CRS0041,2022-07-09
ENR00166,STD1973,CRS0044,2025-06-09
ENR00167,STD1774,CRS0017,2024-04-11
ENR00168,STD1443,CRS0050,2023-05-27
ENR00169,STD1925,CRS0028,2022-12-19
ENR00170,STD1116,CRS0003,2023-02-13
ENR00171,STD1725,CRS0012,2023-02-27
ENR00172,STD1218,CRS0017,2025-05-19
ENR00173,STD1778,CRS0011,2023-03-25
ENR00174,STD1434,CRS0017,2024-12-09
ENR00175,STD1127,CRS0017,2023-09-01
ENR00176,STD1409,CRS0002,2023-08-17
ENR00177,STD1228,CRS0050,2024-10-23
ENR00178,STD1834,CRS0004,2024-03-24
ENR00179,STD1208,CRS0014,2024-08-03
ENR00180,STD1984,CRS0008,2025-01-11
ENR00181,STD1707,CRS0037,2023-08-16
ENR00182,STD1446,CRS0004,2023-04-06
ENR00183,STD1565,CRS0047,2023-04-02
ENR00184,STD1771,CRS0018,2024-03-05
ENR00185,STD1731,CRS0017,2025-02-09
ENR00186,STD1807,CRS0019,2024-08-21
ENR00187,STD1577,CRS0002,2023-04-16
ENR00188,STD1884,CRS0039,2022-07-10
ENR00189,STD1254,CRS0034,2025-03-23
ENR00190,STD1021,CRS0027,2023-05-11
ENR00191,STD1072,CRS0024,2025-01-09
ENR00192,STD1199,CRS0033,2024-02-12
ENR00193,STD1571,CRS0045,2022-11-25
ENR00194,STD1740,CRS0015,2023-11-18
ENR00195,STD1379,CRS0026,2024-01-27
ENR00196,STD1344,CRS0040,2024-12-27
ENR00197,STD1713,CRS0048,2022-10-01
ENR00198,STD1555,CRS0030,2024-08-06
ENR00199,STD1966,CRS0038,2023-12-16
ENR00200,STD1074,CRS0030,2022-10-09
ENR00201,STD1562,CRS0002,2022-12-19
ENR00202,STD1603,CRS0009,2024-06-11
ENR00203,STD1253,CRS0024,2024-07-24
ENR00204,STD1134,CRS0025,2023-05-30
ENR00205,STD1120,CRS0043,2023-11-09
ENR00206,STD1729,CRS0006,2024-10-25
ENR00207,STD1012,CRS0040,2023-02-16
ENR00208,STD1981,CRS0015,2023-10-08
ENR00209,STD1173,CRS0044,2024-04-28
ENR00210,STD1506,CRS0007,2022-11-20
ENR00211,STD1304,CRS0027,2023-09-19
ENR00212,STD1848,CRS0050,2023-08-27
ENR00213,STD1869,CRS0016,2022-06-10
ENR00214,STD1577,CRS0016,2024-10-27
ENR00215,STD1727,CRS0033,2024-01-21
ENR00216,STD1937,CRS0030,2024-11-11
ENR00217,STD1653,CRS0036,2023-12-06
ENR00218,STD1311,CRS0011,2022-09-05
ENR00219,STD1222,CRS0006,2023-04-27
ENR00220,STD1549,CRS0036,2022-12-29
ENR00221,STD1452,CRS0016,2023-02-13
ENR00222,STD1095,CRS0007,2022-09-25
ENR00223,STD1964,CRS0046,2022-12-29
ENR00224,STD1720,CRS0027,2023-10-13
ENR00225,STD1580,CRS0040,2024-01-31
ENR00226,STD1714,CRS0007,2022-06-14
ENR00227,STD1776,CRS0031,2023-11-27
ENR00228,STD1604,CRS0016,2022-08-10
ENR00229,STD1508,CRS0033,2023-11-28
ENR00230,STD1158,CRS0037,2024-01-27
ENR00231,STD1629,CRS0025,2023-08-15
ENR00232,STD1657,CRS0021,2022-08-23
ENR00233,STD1559,CRS0019,2025-06-06
ENR00234,STD1104,CRS0005,2023-04-29
ENR00235,STD1621,CRS0009,2025-02-05
ENR00236,STD1833,CRS0048,2024-11-03
ENR00237,STD1504,CRS0035,2022-11-10
ENR00238,STD1456,CRS0031,2023-07-27
ENR00239,STD1876,CRS0046,2023-03-03
ENR00240,STD1165,CRS0014,2024-03-09
ENR00241,STD1990,CRS0003,2022-06-18
ENR00242,STD1149,CRS0005,2024-06-07
ENR00243,STD1504,CRS0043,2025-04-02
ENR00244,STD1916,CRS0007,2023-04-22
ENR00245,STD1643,CRS0039,2024-10-08
ENR00246,STD1598,CRS0015,2022-09-24
ENR00247,STD1582,CRS0031,2024-04-03
ENR00248,STD1920,CRS0018,2022-10-17
ENR00249,STD1442,CRS0033,2023-05-26
ENR00250,STD1322,CRS0019,2022-10-28
ENR00251,STD1814,CRS0029,2023-09-04
ENR00252,STD1706,CRS0002,2022-07-24
ENR00253,STD1583,CRS0025,2022-07-30
ENR00254,STD1885,CRS0042,2024-04-20
ENR00255,STD1298,CRS0033,2022-09-26
ENR00256,STD1225,CRS0048,2023-10-15
ENR00257,STD1759,CRS0028,2023-02-17
ENR00258,STD1051,CRS0007,2023-05-26
ENR00259,STD1140,CRS0042,2023-05-25
ENR00260,STD1554,CRS0041,2023-01-25
ENR00261,STD1689,CRS0004,2024-09-29
ENR00262,STD1696,CRS0007,2023-06-11
ENR00263,STD1241,CRS0027,2023-10-09
ENR00264,STD1042,CRS0025,2024-10-30
ENR00265,STD1707,CRS0020,2024-05-09
ENR00266,STD1532,CRS0045,2024-10-07
ENR00267,STD1270,CRS0005,2024-03-21
ENR00268,STD1528,CRS0047,2025-01-28
ENR00269,STD1758,CRS0018,2022-06-10
ENR00270,STD1239,CRS0020,2022-07-12
ENR00271,STD1439,CRS0005,2023-05-29
ENR00272,STD1563,CRS0002,2025-04-27
ENR00273,STD1976,CRS0025,2024-08-04
ENR00274,STD1042,CRS0001,2025-06-07
ENR00275,STD1893,CRS0012,2024-12-25
ENR00276,STD1129,CRS0025,2023-12-30
ENR00277,STD1554,CRS0049,2024-03-20
ENR00278,STD1586,CRS0007,2024-11-06
ENR00279,STD1137,CRS0014,2025-04-19
ENR00280,STD1675,CRS0017,2024-12-16
ENR00281,STD1448,CRS0034,2022-10-04
ENR00282,STD1551,CRS0015,2024-06-19
ENR00283,STD1089,CRS0008,2024-02-16
ENR00284,STD1354,CRS0034,2023-09-20
ENR00285,STD1717,CRS0035,2024-04-21
ENR00286,STD1256,CRS0029,2023-04-07
ENR00287,STD1122,CRS0036,2023-03-16
ENR00288,STD1742,CRS0040,2024-07-18
ENR00289,STD1495,CRS0009,2023-06-05
ENR00290,STD1058,CRS0044,2022-09-24
ENR00291,STD1408,CRS0028,2023-12-16
ENR00292,STD1517,CRS0048,2023-10-27
ENR00293,STD1325,CRS0004,2023-10-10
ENR00294,STD1854,CRS0018,2022-07-09
ENR00295,STD1922,CRS0004,2025-04-07
ENR00296,STD1400,CRS0012,2023-01-04
ENR00297,STD1737,CRS0028,2024-07-07
ENR00298,STD1226,CRS0037,2024-11-29
ENR00299,STD1955,CRS0010,2025-03-17
ENR00300,STD1822,CRS0038,2025-02-19
ENR00301,STD1099,CRS0025,2023-01-04
ENR00302,STD1800,CRS0043,2024-10-28
ENR00303,STD1832,CRS0044,2024-04-24
ENR00304,STD1696,CRS0043,2025-05-01
ENR00305,STD1056,CRS0036,2025-04-11
ENR00306,STD1748,CRS0019,2023-08-02
ENR00307,STD1601,CRS0018,2024-11-10
ENR00308,STD1776,CRS0019,2025-01-29
ENR00309,STD1267,CRS0038,2024-07-11
ENR00310,STD1944,CRS0033,2023-01-07
ENR00311,STD1059,CRS0013,2024-06-18
ENR00312,STD1014,CRS0015,2023-03-07
ENR00313,STD1645,CRS0017,2024-08-21
ENR00314,STD1831,CRS0007,2022-08-09
ENR00315,STD1238,CRS0028,2023-02-14
ENR00316,STD1945,CRS0022,2023-12-30
ENR00317,STD1038,CRS0014,2025-02-02
ENR00318,STD1202,CRS0042,2024-10-21
ENR00319,STD1058,CRS0034,2025-06-08
ENR00320,STD1176,CRS0012,2024-10-26
ENR00321,STD1249,CRS0028,2023-12-03
ENR00322,STD1946,CRS0029,2023-04-20
ENR00323,STD1160,CRS0003,2024-06-03
ENR00324,STD1872,CRS0024,2023-02-10
ENR00325,STD1767,CRS0035,2024-04-07
ENR00326,STD1634,CRS0034,2024-04-04
ENR00327,STD1641,CRS0011,2024-05-10
ENR00328,STD1920,CRS0025,2025-01-26
ENR00329,STD1823,CRS0018,2022-08-02
ENR00330,STD1051,CRS0009,2024-01-20
ENR00331,STD1176,CRS0030,2025-05-23
ENR00332,STD1867,CRS0046,2023-03-12
ENR00333,STD1073,CRS0035,2023-12-10
ENR00334,STD1649,CRS0014,2023-04-19
ENR00335,STD1109,CRS0029,2022-11-26
ENR00336,STD1609,CRS0032,2022-09-15
ENR00337,STD1305,CRS0031,2023-05-27
ENR00338,STD1844,CRS0025,2024-12-27
ENR00339,STD1967,CRS0014,2023-05-23
ENR00340,STD1058,CRS0003,2025-04-27
ENR00341,STD1113,CRS0041,2022-09-20
ENR00342,STD1862,CRS0043,2022-09-14
ENR00343,STD1269,CRS0030,2022-08-14
ENR00344,STD1051,CRS0028,2022-08-07
ENR00345,STD1497,CRS0010,2024-06-21
ENR00346,STD1889,CRS0038,2024-08-31
ENR00347,STD1556,CRS0017,2024-07-21
ENR00348,STD1220,CRS0026,2024-10-27
ENR00349,STD1059,CRS0015,2025-06-05
ENR00350,STD1397,CRS0041,2024-05-25
ENR00351,STD1699,CRS0036,2023-08-30
ENR00352,STD1341,CRS0048,2023-07-02
ENR00353,STD1277,CRS0049,2024-12-09
ENR00354,STD1112,CRS0028,2025-03-26
ENR00355,STD1507,CRS0016,2022-07-07
ENR00356,STD1018,CRS0032,2024-01-08
ENR00357,STD1888,CRS0038,2024-01-01
ENR00358,STD1845,CRS0006,2024-08-03
ENR00359,STD1932,CRS0015,2023-01-27
ENR00360,STD1856,CRS0043,2025-01-12
ENR00361,STD1832,CRS0006,2024-07-14
ENR00362,STD1334,CRS0005,2024-07-09
ENR00363,STD1707,CRS0038,2024-12-02
ENR00364,STD1522,CRS0046,2024-05-27
ENR00365,STD1985,CRS0020,2022-07-01
ENR00366,STD1160,CRS0029,2024-06-05
ENR00367,STD1515,CRS0035,2023-03-30
ENR00368,STD1327,CRS0002,2025-02-01
ENR00369,STD1121,CRS0001,2024-06-30
ENR00370,STD1868,CRS0031,2022-11-21
ENR00371,STD1141,CRS0031,2022-10-01
ENR00372,STD1379,CRS0038,2022-06-19
ENR00373,STD1772,CRS0026,2024-03-01
ENR00374,STD1199,CRS0031,2022-12-16
ENR00375,STD1069,CRS0039,2023-06-25
ENR00376,STD1612,CRS0046,2023-01-29
ENR00377,STD1796,CRS0047,2022-07-25
ENR00378,STD1294,CRS0037,2025-01-03
ENR00379,STD1498,CRS0049,2023-05-28
ENR00380,STD1513,CRS0003,2022-07-19
ENR00381,STD1741,CRS0015,2025-02-17
ENR00382,STD1406,CRS0003,2023-07-11
ENR00383,STD1662,CRS0041,2023-01-13
ENR00384,STD1635,CRS0022,2024-04-13
ENR00385,STD1861,CRS0027,2023-12-11
ENR00386,STD1104,CRS0046,2023-10-13
ENR00387,STD1962,CRS0010,2023-11-08
ENR00388,STD1064,CRS0004,2025-05-05
ENR00389,STD1378,CRS0009,2022-11-23
ENR00390,STD1810,CRS0016,2022-07-18
ENR00391,STD1523,CRS0046,2022-08-03
ENR00392,STD1224,CRS0021,2023-02-06
ENR00393,STD1077,CRS0050,2024-01-01
ENR00394,STD1712,CRS0035,2024-08-09
ENR00395,STD1870,CRS0038,2023-04-16
ENR00396,STD1050,CRS0002,2023-06-18
ENR00397,STD1881,CRS0014,2023-08-20
ENR00398,STD1985,CRS0037,2024-07-29
ENR00399,STD1295,CRS0026,2023-01-20
ENR00400,STD1379,CRS0030,2025-04-06
ENR00401,STD1047,CRS0022,2024-06-14
ENR00402,STD1985,CRS0048,2024-09-13
ENR00403,STD1722,CRS0006,2023-01-15
ENR00404,STD1937,CRS0044,2024-10-07
ENR00405,STD1767,CRS0030,2025-05-30
ENR00406,STD1413,CRS0004,2023-11-15
ENR00407,STD1367,CRS0049,2023-10-18
ENR00408,STD1528,CRS0029,2024-01-14
ENR00409,STD1645,CRS0004,2022-11-02
ENR00410,STD1573,CRS0045,2024-04-14
ENR00411,STD1908,CRS0047,2024-12-22
ENR00412,STD1546,CRS0007,2024-09-27
ENR00413,STD1510,CRS0023,2024-01-30
ENR00414,STD1197,CRS0006,2024-11-02
ENR00415,STD1472,CRS0040,2024-03-22
ENR00416,STD1745,CRS0024,2023-03-30
ENR00417,STD1041,CRS0032,2022-09-08
ENR00418,STD1605,CRS0013,2023-10-08
ENR00419,STD1690,CRS0028,2024-04-16
ENR00420,STD1954,CRS0011,2023-12-18
ENR00421,STD1154,CRS0041,2022-10-05
ENR00422,STD1828,CRS0018,2023-03-19
ENR00423,STD1943,CRS0025,2025-03-10
ENR00424,STD1016,CRS0009,2022-12-08
ENR00425,STD1342,CRS0007,2023-12-11
ENR00426,STD1591,CRS0002,2024-07-18
ENR00427,STD1954,CRS0025,2023-08-18
ENR00428,STD1953,CRS0025,2025-02-23
ENR00429,STD1417,CRS0017,2022-08-28
ENR00430,STD1384,CRS0029,2023-08-28
ENR00431,STD1650,CRS0023,2023-06-07
ENR00432,STD1072,CRS0006,2024-08-07
ENR00433,STD1952,CRS0009,2024-02-22
ENR00434,STD1592,CRS0002,2022-10-02
ENR00435,STD1262,CRS0043,2025-05-04
ENR00436,STD1773,CRS0047,2023-10-04
ENR00437,STD1345,CRS0026,2024-02-06
ENR00438,STD1563,CRS0049,2022-07-28
ENR00439,STD1547,CRS0019,2025-02-15
ENR00440,STD1805,CRS0037,2024-10-21
ENR00441,STD1250,CRS0038,2023-12-09
ENR00442,STD1097,CRS0022,2023-11-20
ENR00443,STD1118,CRS0047,2024-04-30
ENR00444,STD1533,CRS0002,2024-11-01
ENR00445,STD1177,CRS0029,2024-06-23
ENR00446,STD1138,CRS0001,2023-09-19
ENR00447,STD1722,CRS0028,2025-04-26
ENR00448,STD1023,CRS0031,2024-05-23
ENR00449,STD1228,CRS0015,2024-01-07
ENR00450,STD1114,CRS0041,2024-09-13
ENR00451,STD1869,CRS0028,2023-10-28
ENR00452,STD1071,CRS0037,2024-12-24
ENR00453,STD1979,CRS0032,2024-05-19
ENR00454,STD1996,CRS0042,2024-11-21
ENR00455,STD1623,CRS0041,2022-06-16
ENR00456,STD1236,CRS0011,2024-03-26
ENR00457,STD1560,CRS0006,2023-11-18
ENR00458,STD1373,CRS0006,2023-07-12
ENR00459,STD1110,CRS0017,2024-08-11
ENR00460,STD1474,CRS0012,2022-11-14
ENR00461,STD1177,CRS0036,2025-01-21
ENR00462,STD1559,CRS0042,2024-04-24
ENR00463,STD1131,CRS0025,2024-06-19
ENR00464,STD1372,CRS0024,2023-03-01
ENR00465,STD1152,CRS0045,2023-11-04
ENR00466,STD1202,CRS0036,2023-05-12
ENR00467,STD1954,CRS0047,2022-10-29
ENR00468,STD1359,CRS0050,2023-02-24
ENR00469,STD1184,CRS0013,2023-07-14
ENR00470,STD1018,CRS0026,2024-06-15
ENR00471,STD1321,CRS0034,2024-07-23
ENR00472,STD1568,CRS0046,2024-02-12
ENR00473,STD1769,CRS0013,2024-01-10
ENR00474,STD1924,CRS0022,2024-08-17
ENR00475,STD1999,CRS0050,2023-11-30
ENR00476,STD1318,CRS0036,2025-04-27
ENR00477,STD1573,CRS0039,2023-01-17
ENR00478,STD1956,CRS0017,2023-06-26
ENR00479,STD1506,CRS0005,2024-01-22
ENR00480,STD1994,CRS0024,2023-02-27
ENR00481,STD1966,CRS0050,2024-01-12
ENR00482,STD1469,CRS0013,2023-05-23
ENR00483,STD1331,CRS0028,2024-06-29
ENR00484,STD1674,CRS0027,2023-08-08
ENR00485,STD1557,CRS0008,2022-07-24
ENR00486,STD1965,CRS0011,2023-04-27
ENR00487,STD1561,CRS0023,2024-06-22
ENR00488,STD1186,CRS0046,2025-05-11
ENR00489,STD1647,CRS0035,2023-12-28
ENR00490,STD1276,CRS0005,2023-03-23
ENR00491,STD1384,CRS0020,2024-08-30
ENR00492,STD1784,CRS0041,2023-02-27
ENR00493,STD1509,CRS0039,2025-03-26
ENR00494,STD1927,CRS0011,2023-11-23
ENR00495,STD1498,CRS0041,2022-07-06
ENR00496,STD1224,CRS0036,2023-05-29
ENR00497,STD1978,CRS0033,2025-03-30
ENR00498,STD1011,CRS0033,2022-06-18
ENR00499,STD1826,CRS0021,2024-03-04
ENR00500,STD1061,CRS0028,2024-11-16
ENR00501,STD1022,CRS0033,2024-07-03
ENR00502,STD1309,CRS0010,2024-08-17
ENR00503,STD1381,CRS0045,2025-03-25
ENR00504,STD1473,CRS0004,2022-09-27
ENR00505,STD1175,CRS0024,2023-03-23
ENR00506,STD1315,CRS0048,2024-11-02
ENR00507,STD1388,CRS0046,2025-01-11
ENR00508,STD1912,CRS0017,2024-09-15
ENR00509,STD1515,CRS0045,2025-05-07
ENR00510,STD1136,CRS0008,2023-12-01
ENR00511,STD1055,CRS0005,2025-01-11
ENR00512,STD1123,CRS0002,2022-09-26
ENR00513,STD1603,CRS0005,2023-12-17
ENR00514,STD1269,CRS0008,2024-12-03
ENR00515,STD1213,CRS0002,2023-06-20
ENR00516,STD1065,CRS0001,2025-02-15
ENR00517,STD1516,CRS0045,2022-10-08
ENR00518,STD1424,CRS0038,2023-05-11
ENR00519,STD1573,CRS0003,2023-09-09
ENR00520,STD1840,CRS0039,2024-01-25
ENR00521,STD1410,CRS0047,2023-08-05
ENR00522,STD1042,CRS0020,2024-04-10
ENR00523,STD1001,CRS0012,2024-06-06
ENR00524,STD1592,CRS0006,2023-07-03
ENR00525,STD1085,CRS0013,2024-03-06
ENR00526,STD1570,CRS0027,2024-06-25
ENR00527,STD1406,CRS0027,2025-01-11
ENR00528,STD1389,CRS0002,2024-02-17
ENR00529,STD1604,CRS0030,2025-05-06
ENR00530,STD1211,CRS0010,2023-10-04
ENR00531,STD1803,CRS0035,2022-12-15
ENR00532,STD1986,CRS0006,2023-11-17
ENR00533,STD1154,CRS0001,2024-11-23
ENR00534,STD1878,CRS0030,2024-06-15
ENR00535,STD1232,CRS0046,2025-01-29
ENR00536,STD1565,CRS0047,2024-04-12
ENR00537,STD1549,CRS0042,2025-01-14
ENR00538,STD1864,CRS0023,2022-11-16
ENR00539,STD1088,CRS0044,2023-04-11
ENR00540,STD1974,CRS0029,2025-05-20
ENR00541,STD1693,CRS0020,2022-10-15
ENR00542,STD1418,CRS0006,2025-06-05
ENR00543,STD1253,CRS0007,2022-11-17
ENR00544,STD1923,CRS0014,2024-03-04
ENR00545,STD1574,CRS0011,2023-11-01
ENR00546,STD1094,CRS0028,2023-12-29
ENR00547,STD1941,CRS0024,2024-03-11
ENR00548,STD1228,CRS0046,2022-10-16
ENR00549,STD1866,CRS0011,2022-11-01
ENR00550,STD1313,CRS0034,2024-01-25
ENR00551,STD1189,CRS0025,2025-02-19
ENR00552,STD1520,CRS0012,2024-10-03
ENR00553,STD1763,CRS0044,2023-03-20
ENR00554,STD1594,CRS0046,2023-01-23
ENR00555,STD1201,CRS0045,2022-12-27
ENR00556,STD1398,CRS0029,2023-11-14
ENR00557,STD1708,CRS0028,2024-01-05
ENR00558,STD1913,CRS0038,2023-04-14
ENR00559,STD1271,CRS0017,2024-06-23
ENR00560,STD1109,CRS0004,2024-01-12
ENR00561,STD1298,CRS0023,2022-08-21
ENR00562,STD1704,CRS0031,2025-03-17
ENR00563,STD1980,CRS0037,2023-06-25
ENR00564,STD1601,CRS0040,2023-06-24
ENR00565,STD1060,CRS0011,2023-02-20
ENR00566,STD1925,CRS0012,2023-02-15
ENR00567,STD1560,CRS0041,2023-03-23
ENR00568,STD1657,CRS0009,2024-03-21
ENR00569,STD1832,CRS0031,2023-10-02
ENR00570,STD1189,CRS0005,2023-09-14
ENR00571,STD1649,CRS0017,2023-11-21
ENR00572,STD1576,CRS0036,2023-04-18
ENR00573,STD1870,CRS0045,2024-05-15
ENR00574,STD1594,CRS0005,2023-09-14
ENR00575,STD1954,CRS0002,2025-04-18
ENR00576,STD1180,CRS0048,2024-11-01
ENR00577,STD1669,CRS0006,2024-05-21
ENR00578,STD1969,CRS0047,2023-12-16
ENR00579,STD1383,CRS0011,2023-03-16
ENR00580,STD1855,CRS0017,2023-05-07
ENR00581,STD1828,CRS0048,2024-03-12
